排名,商户名,商区,口味分,环境分,服务分,人均消费,地址,电话
77,雪局主题餐厅,丰台区,9.2,9.3,9.3,￥76,蒲黄榆地铁A口出向右直走第二个胡同（门口有菜店的胡同里头）(动感丝雨造型对面胡同),13581767911  15910876568
78,站台故事咖啡西餐厅,新华大街,9.1,9.3,9.1,￥51,车站路7号(太熟悉家常菜北侧),010-80886618
79,1949-全鸭季(金宝街店),王府井/东单,9.0,9.3,9.0,￥373,金宝街98号(近金宝汇),010-65212221
80,新·乙十六(地坛中心店),和平里,8.5,9.3,9.0,￥380,和平里中街乙十六号(地坛公园北门),010-64281188
81,蔓兰酒店S0餐厅,东直门,8.8,9.3,9.1,￥146,香河园路1号当代MOMA内S0号楼,010-52049688
82,斋香园素食,安贞,9.2,9.3,9.3,￥72,安贞西里2区17号楼莱安商务楼1楼自驾车:北三环安华桥向北300米东侧第二个小区大门进去安贞西里社区莱安商务底(格林豪泰安贞鸟巢店旁边),010-64416566  010-64255668
83,束河人家(东单店),东城区,9.1,9.3,9.1,￥140,东城区北极阁胡同10号,010-56183919
84,水木锦堂•越域东南亚铁板烧(龙湖长楹天街店),管庄,9.0,9.3,9.2,￥109,常营朝阳北路常营龙湖长楹天街购物中心东区4楼16-17号(地铁6号线常营站（E口出）),010-65769986  010-65769985
85,中发源西北盛宴餐厅,大望路,9.0,9.3,9.1,￥138,光华路4号东方梅地亚中心C座1-3层(新央视大楼东500米；1号线大望路D出口万达广场北侧),010-85570288
86,食燚(常营店),管庄,8.2,9.3,9.2,￥90,北京朝阳常营区龙湖长楹天街商场三层东区24B-27B,010-65431969
87,白家大院,苏州桥,8.3,9.3,9.1,￥344,苏州街15号乐家花园内(近八一中学、北京大学、清华大学、人民大学、理工大学、中关村),010-62658851  010-62632193
88,比萨到PizzaNow(方庄店),方庄,9.3,9.3,9.4,￥44,方庄体育公园东门停车场(方庄环岛北),4008758758
89,蓝杉西餐咖啡厅,大望路,9.1,9.3,9.3,￥94,西大望路3号蓝堡公寓南门商铺S111A号,010-85997321
90,风渡嘉荷西餐厅 Windy City,清河,8.5,9.3,9.0,￥156,永泰庄北路9号潇湘甲鱼村院内(近林翠路八达岭高速小营桥),010-62993777
91,小吾厨房,三里屯,9.0,9.3,9.1,￥81,工体北路8号院三里屯SOHO地下广场B1333号,010-85900700
92,苏泰辣椒(亮马店),亮马桥/三元桥,9.1,9.3,9.1,￥142,麦子店街38号北京三全公寓(亮马花卉市场东边),010-65077326  010-65077328
93,懒人盐府人家(安贞店),安贞,9.2,9.3,9.1,￥91,安定门大街甲1号(安贞桥南150米路西、江苏饭店北侧),010-56244977  010-64264560
94,北京珠三角JW万豪酒店JW Kitchen,宣武门,8.7,9.3,9.2,￥271,宣武门外大街18号,北京珠三角JW万豪4楼(宣武门SOGO旁边),010-63916391
95,一坐一忘丽江主题餐厅(工体店),工人体育场,9.1,9.3,9.1,￥88,工人体育场北路21号屯三里永利国际大厦(永利国际东北),010-58010086  010-58010566
96,北京国贸大酒店国贸79西餐厅,国贸,8.6,9.3,9.1,￥766,建国门外大街1号国贸大酒店79楼(近光华路),010-85716459
97,之几当代湘菜,蓝色港湾,9.1,9.3,9.2,￥91,朝阳公园路6号蓝色港湾国际商区左岸酒吧街内(朝阳公园),010-59056357  010-59056725
98,邢氏海参鲁菜馆(邢氏海参馆六里桥店),六里桥/丽泽桥,9.1,9.3,9.2,￥101,六里桥莲怡园东路风荷曲苑小区东门(京港澳高速),010-52730912
99,淮扬府(安定门店),安定门,9.1,9.3,9.1,￥177,安定门外大街198号(地坛西门北侧),010-64265858  010-64265959
100,Moi餐吧,东城区,9.1,9.3,9.3,￥148,东直门香河园北街当代MOMA内(百老汇电影院旁边)(百老汇电影院),010-84388808
101,康莱德酒店廿九阁餐厅,三里屯,8.7,9.3,9.1,￥468,东三环北路29号康莱德酒店2楼(团结湖公园),010-65846300
102,灥餐厅,东直门,9.0,9.3,9.2,￥129,交道口北头条胡同63号(地铁五号线北新桥站A出口，东城区第一文化馆),15601336735
103,兰舍咖啡私房菜,亦庄,9.1,9.3,9.3,￥85,经济技术开发区荣华南路16号中冀斯巴鲁大厦2楼(近开发区南环岛),010-59767288
104,逍遥时光,方庄,8.4,9.3,8.6,￥76,丰台区蒲黄榆路28号博纳影城入口右转上二楼,010-87166693  010-87166683
105,四季民福烤鸭店(旺角店),望京,9.3,9.3,9.2,￥114,南湖中园211号京客隆4楼,010-64731635  010-64751081
106,巢谷烤肉餐吧,东城区,9.1,9.2,9.2,￥109,东直门外27号(必胜客2层),010-64618100
107,MR.FABBRO(三里屯店),三里屯,9.0,9.2,9.2,￥108,三里屯SOHO1号商场底商103-105(三里屯雅秀服装市场正对面),010-85900999
108,渝焱·重庆秘宗火锅,双井,9.1,9.2,9.2,￥119,百子湾黄木场路6号(今日美术馆西北侧)(今日美术馆，苹果社区，御宸上院),010-67778700
109,舌尖记忆(王府井大街店),王府井/东单,9.1,9.2,9.2,￥58,王府井大街88号银泰in88(原乐天银泰百货)商场L4,010-57749244
110,宽咖啡·Moment Restaurant Bar,三里屯,9.1,9.2,9.3,￥91,工体北路8号院三里屯SOHO5号商场B1楼B1-525号(黄太吉 往里 旋转楼梯旁边),010-85900724
111,日和美炉,大望路,8.9,9.2,9.2,￥106,通惠河北路郎家园6号郎园Vintage艺术园区南门2号楼1楼(北京电视台南门东侧500米),010-85800686
112,红蕃茄楚珍舫(阜成路店),航天桥,9.2,9.2,9.2,￥122,阜成路73号裕惠大厦B座1-2楼(近空军总医院),010-68456158  010-68458123
113,Miss火新派重庆火锅,十里堡,9.2,9.2,9.2,￥85,青年路27号院华纺新天地5-1（国美第一城，华纺易城）(朝阳大悦城北),010-56262755
114,捞济码头火锅,古城/八角,9.0,9.2,8.6,￥80,八角东路25-4号(八角游乐园),010-67777719
115,桂公府凤凰阁鸭王,建国门/北京站,8.6,9.2,9.0,￥407,朝内南小街芳嘉园胡同11号,010-85112223  010-85110005
116,华膳正点,亚运村,9.2,9.2,9.3,￥55,慧忠北里105号楼四海凯越美食广场西侧（独立门面）,010-58460008  010-58460009
117,华尔道夫酒店荣尊1893,王府井/东单,8.7,9.2,9.1,￥417,金鱼胡同5-15号华尔道夫酒店1F(近澳门中心),010-85208989
118,江一湖重庆火锅(燕莎桥店),亮马桥/三元桥,9.1,9.2,9.2,￥94,新源南路甲3号佳亿时尚广场3层(昆仑饭店对面),010-89999778
119,阿根廷庄园,望京,8.7,9.2,8.8,￥331,来广营东路1号(京顺路口),010-84701666  010-84701888
120,爱江山(西四环店),远大路,8.4,9.2,8.8,￥307,正福寺2号板井路网球场内,010-52721020  010-51906167
121,漫火锅,王府井/东单,9.2,9.2,9.3,￥108,王府井大街253号王府井百货大楼6层,010-85260682  010-85116880
122,祈年8号,崇文门,8.5,9.2,8.3,￥253,祈年大街8号新世界酒店2楼(地铁2号线崇文门站，地铁5号线崇文门站),010-59608822  010-59608811
123,香闺食阁,西单,9.1,9.2,9.2,￥69,西单横二条大秤钩胡同13号(蚝酷烤翅旁),010-66066903
124,淮扬菜品鉴堂,航天桥,8.8,9.2,8.7,￥276,西三环北路100号光耀东方3楼,010-88557788  010-88557877
125,尚水长廊铁板烧餐厅(三里屯太古里店),三里屯,9.3,9.2,9.2,￥429,三里屯路11号三里屯太古里北区N4-30号(近3.3服装市场),010-64152112  010-64165102
126,秦镇郭家米皮(前门店),前门,9.3,9.2,9.4,￥20,西河沿街108号,010-83197059
127,伙伴烤肉餐吧,东城区,9.2,9.2,9.2,￥139,东直门外新中街甲3号,15801417575
128,MIO意大利餐厅,亮马桥/三元桥,8.9,9.2,9.2,￥829,亮马桥路48号四季酒店3楼(近麦子店街),010-56958888
129,站点比萨(丽都店),酒仙桥,9.1,9.2,9.1,￥73,芳园西路6号1栋(丽都花园东门   北京信息职业技术学院对面),010-56436755  010-56436756
130,fanier费尼餐厅(朝阳大悦城店),青年路,9.1,9.2,9.2,￥85,朝阳北路101号朝阳大悦城6F-30号,
131,悦澜湾(蓝色港湾店),亮马桥/三元桥,8.8,9.2,9.0,￥171,朝阳公园路6号蓝色港湾国际商区湖畔街11号楼11-3号,010-59056735
132,达达尼尔土耳其餐厅,朝外大街,9.1,9.2,8.7,￥108,神路街39号楼日坛上街,010-85615853
133,怡秀坊餐厅,青塔,8.9,9.2,8.9,￥154,小屯路与双林南路交口西南角,010-63775497  010-63763638
134,丰和日丽(阜内大街店),西四,9.0,9.2,8.8,￥143,阜成门内大街93号,010-66181277  010-66181278
135,CAFE KU•咖啡库(亚运村店),亚运村,9.1,9.2,9.1,￥66,大屯北路312号金泉美食宫1-2楼(大屯路东地铁（西北口）),010-84855983  010-84855993
136,禾绿回转寿司(大红门银泰店),大红门,9.1,9.2,9.2,￥79,马家堡东路101号院10号商业楼银泰百货4F,010-56530668
137,九妙坊(五棵松店),五棵松,8.8,9.2,8.5,￥78,朱各庄路金和嘉园小区北门。鸿福宾馆往北100米右转,集美家具建材城往南50米左转(金沟河),010-88285288
138,四世同堂,复兴门,9.1,9.2,9.1,￥91,西便门内大街85号的金色夏日商务酒店一层里面,010-65588080
139,冠君轩,亮马桥/三元桥,8.6,9.2,9.1,￥112,尚家楼路2号裘马都生活广场(近三元桥),010-84361696
140,The Roots 香海西厨,亦庄,9.2,9.2,9.3,￥93,亦庄开发区天宝北街1号,儒宴北侧(大中电器北侧，听涛雅苑小区西门),010-67897276
141,CJ FOODWORLD QIANMEN 意式餐厅BISTRO(前门店),前门,9.0,9.2,9.2,￥225,前门大街2号一层,010-67037701
142,花家怡园(八爷府王府井店),王府井/东单,9.0,9.2,9.0,￥173,王府井东街8号澳门中心商场3楼(澳门中心里),010-51283326
143,“泉”日本料理,亦庄,9.2,9.2,9.1,￥180,经济技术开发区荣华中路11号锦江富园大酒店2层,010-67800583
144,蟹之国,三里屯,9.1,9.2,9.2,￥326,工人体育场北路4号80号楼机电研究院内(阿斯牛牛北边、滚石隔壁),010-65991899  010-65991977
145,LA YUN CAFE,大望路,9.0,9.2,9.1,￥112,郎家园10号东郎电影创意产业园(红星大厦),010-64177888
146,牛掰六道菜(尚都凯瑞店),黄村,9.0,9.2,9.1,￥53,兴丰大街三段60号尚都凯瑞国际酒店1层(清源路、玉林烤鸭店、火神庙),010-81297016
147,长安三十六坊盛唐主题餐厅,太阳宫,9.0,9.2,9.1,￥45,爱琴海购物中心(六层),010-64101735  010-64101637
148,湘SHOW(上地店),上地,9.1,9.2,9.1,￥77,上地东路35号颐泉汇大厦1楼(上地地铁站往北300米)(近智选假日酒店、上地环岛东),010-60607832  010-60607833
149,莲素会,青塔,9.1,9.2,9.2,￥178,小屯路2-5号、小瓦窑公交站往北100米路东(近五棵松、大成路、玉泉路、园博园、青塔西路。),010-68699258  010-68699268
150,辣家私厨(亦庄店),亦庄,9.2,9.2,9.2,-,亦庄经济技术开发区上海沙龙商业街A3号(肯德基旁）(靠近天宝南街),010-57275552
